postcode_sector,average_price,percentage_average_price
BR1 1,328000,49
BR1 2,691000,103
BR1 3,508000,76
BR1 4,503000,75
BR1 5,458000,68
BR2 0,557000,83
BR2 6,1500000,220
BR2 7,678000,101
BR2 8,581000,87
BR2 9,501000,75
BR3 1,541000,81
BR3 3,728000,108
BR3 4,541000,81
BR3 5,525000,78
BR3 6,725000,108
BR4 0,624000,93
BR4 9,621000,92
BR5 1,693000,103
BR5 2,439000,65
BR5 3,359000,53
BR5 4,393000,59
BR6 0,506000,75
BR6 6,685000,102
BR6 7,581000,87
BR6 8,693000,103
BR6 9,598000,89
BR7 5,772000,115
BR7 6,642000,96
CR0 0,373000,55
CR0 1,330000,49
CR0 2,309000,46
CR0 3,354000,53
CR0 4,375000,56
CR0 5,461000,69
CR0 6,384000,57
CR0 7,464000,69
CR0 8,508000,76
CR0 9,322000,48
CR2 0,578000,86
CR2 6,358000,53
CR2 7,480000,71
CR2 8,479000,71
CR2 9,596000,89
CR4 1,397000,59
CR4 2,467000,69
CR4 3,417000,62
CR4 4,353000,53
CR5 1,541000,81
CR5 2,546000,81
CR7 6,411000,61
CR7 7,368000,55
CR7 8,372000,55
CR8 1,647000,96
CR8 2,474000,71
CR8 3,783000,117
CR8 4,497000,74
CR8 5,488000,73
CR9 1,400000,60
DA1 4,332000,49
DA14 4,484000,72
DA14 5,424000,63
DA14 6,390000,58
DA15 7,552000,82
DA15 8,461000,69
DA15 9,484000,72
DA16 1,442000,66
DA16 2,483000,72
DA16 3,411000,61
DA17 5,358000,53
DA17 6,346000,52
DA18 4,306000,46
DA5 1,503000,75
DA5 2,609000,91
DA5 3,554000,82
DA6 7,398000,59
DA6 8,477000,71
DA7 4,435000,65
DA7 5,493000,73
DA7 6,432000,64
DA8 1,338000,50
DA8 2,312000,46
DA8 3,355000,53
E1 0,493000,73
E1 1,468000,70
E1 2,558000,83
E1 3,448000,67
E1 4,422000,63
E1 5,502000,75
E1 6,745000,111
E1 7,663000,99
E1 8,596000,89
E10 5,480000,71
E10 6,541000,81
E10 7,455000,68
E11 1,548000,82
E11 2,754000,112
E11 3,613000,91
E11 4,583000,87
E12 5,582000,87
E12 6,400000,60
E13 0,389000,58
E13 8,363000,54
E13 9,395000,59
E14 0,503000,75
E14 2,473000,71
E14 3,490000,73
E14 4,564000,84
E14 5,660000,98
E14 6,439000,65
E14 7,450000,67
E14 8,554000,83
E14 9,678000,101
E15 1,504000,75
E15 2,424000,63
E15 3,454000,68
E15 4,458000,68
E16 1,414000,62
E16 2,476000,71
E16 3,390000,58
E16 4,381000,57
E17 3,551000,82
E17 4,576000,86
E17 5,498000,74
E17 6,562000,84
E17 7,555000,83
E17 8,555000,83
E17 9,679000,101
E18 1,616000,92
E18 2,593000,88
E1W 1,831000,124
E1W 2,637000,95
E1W 3,577000,86
E2 0,479000,71
E2 6,582000,87
E2 7,703000,105
E2 8,587000,87
E2 9,560000,83
E20 1,663000,99
E3 2,474000,71
E3 3,371000,55
E3 4,479000,71
E3 5,624000,93
E4 6,537000,80
E4 7,573000,85
E4 8,460000,69
E4 9,548000,82
E5 0,776000,116
E5 8,574000,86
E5 9,487000,73
E6 1,491000,73
E6 2,416000,62
E6 3,418000,62
E6 5,361000,54
E6 6,374000,56
E6 7,505000,75
E7 0,635000,95
E7 8,421000,63
E7 9,445000,66
E8 1,699000,104
E8 2,676000,101
E8 3,796000,119
E8 4,686000,102
E9 5,554000,83
E9 6,568000,85
E9 7,751000,112
EC1A 4,684000,102
EC1A 7,1000000,152
EC1A 9,588000,88
EC1M 3,760000,113
EC1M 4,982000,146
EC1M 5,1100000,158
EC1M 6,374000,56
EC1N 2,1300000,194
EC1N 7,547000,81
EC1N 8,775000,115
EC1R 0,1000000,153
EC1R 1,1100000,160
EC1R 4,726000,108
EC1R 5,730000,109
EC1V 0,1400000,202
EC1V 1,980000,146
EC1V 2,1100000,171
EC1V 3,697000,104
EC1V 4,983000,146
EC1V 7,760000,113
EC1V 8,888000,132
EC1V 9,538000,80
EC1Y 0,589000,88
EC1Y 1,753000,112
EC1Y 2,786000,117
EC1Y 8,870000,130
EC2A 1,940000,140
EC2A 2,1300000,195
EC2A 3,776000,116
EC2A 4,602000,90
EC2M 4,2200000,328
